retailer_id,shopper_rtlr_loyalty_id
740,100144
740,1001440
740,1001443
740,100144547
740,10014550
740,1001479
740,1001482
740,1001488
740,1001492
740,10014939
740,10014942
740,1001497
740,10014972
740,100150
740,1001501
740,10015013
740,10015027
740,100150885
740,1001509
740,100151964
740,10015253
740,1001527
740,10015315
740,100153532
740,1001537
740,10015427
740,100154787
740,100155
740,10015512
740,1001553
740,10015531
740,1001555
740,1001558
740,10015639
740,1001567
740,1001571
740,100157786
740,10015802
740,100158309
740,100158310
740,100159
740,1001593
740,10015965
740,100159744
740,10015982
740,10015990
740,10016011
740,1001605
740,10016097
740,100161
740,1001612
740,1001619
740,100162
740,10016212
740,1001626
740,100163374
740,100164
740,100164126
740,100165152
740,10016534
740,100165557
740,100165558
740,100165570
740,10016571
740,100165890
740,10016667
740,100167
740,10016737
740,1001675
740,100168
740,1001681
740,10016818
740,1001683
740,10016894
740,10016917
740,1001692
740,1001695
740,1001696
740,100170
740,100170740
740,10017079
740,10017144
740,10017169
740,10017220
740,100172329
740,1001726
740,10017287
740,100173362
740,100173542
740,10017462
740,10017501
740,1001753
740,1001755
740,1001756
740,100175685
740,1001758
740,100177234
740,10017752
740,100177544
740,1001778
740,100177910
740,100178
740,1001782
740,1001783
740,100178899
740,100178932
740,100179292
740,10018009
740,1001801
740,1001806
740,100181
740,100181724
740,1001821
740,1001824
740,10018241
740,1001827
740,1001828
740,10018292
740,100182958
740,10018296
740,100183
740,1001830
740,1001835
740,10018378
740,1001847
740,10018482
740,10018512
740,10018529
740,1001861
740,100186122
740,1001862
740,100186506
740,10018666
740,1001868
740,100187
740,1001876
740,100187783
740,100189
740,10018998
740,100190
740,100190583
740,1001907
740,100191
740,1001911
740,10019146
740,1001916
740,100191611
740,100192045
740,1001921
740,1001924
740,100193
740,100193162
740,100193270
740,10019347
740,100193566
740,100193799
740,100194
740,10019459
740,1001948
740,100194896
740,100194898
740,1001951
740,100195491
740,1001956
740,100195871
740,1001959
740,10019613
740,100196211
740,100196378
740,10019660
740,100196827
740,100196968
740,100197
740,10019728
740,10019818
740,10019874
740,100198944
740,10019898
740,1001992
740,1001993
740,100200026
740,100200111
740,100200177
740,10020024
740,1002005
740,1002007
740,10020159
740,1002019
740,100202399
740,1002026
740,1002049
740,100205
740,1002050
740,1002054
740,10020551
740,1002057
740,100206
740,1002060
740,100206242
740,100207
740,10020705
740,100207055
740,10020710
740,1002073
740,1002075
740,10020770
740,10020804
740,100209326
740,1002101
740,10021077
740,1002111
740,1002117
740,100212
740,100213271
740,10021359
740,100213795
740,10021398
740,100214
740,1002140
740,1002155
740,1002156
740,1002165
740,1002174
740,100217578
740,100217857
740,100217993
740,100218
740,100218180
740,10021827
740,10021848
740,10021895
740,1002196
740,100219663
740,100219922
740,100220
740,1002203
740,100220519
740,100221
740,1002221
740,1002224
740,10022318
740,10022365
740,1002237
740,10022442
740,1002245
740,10022508
740,10022565
740,1002259
740,100226291
740,1002266
740,10022670
740,100227
740,1002270
740,10022737
740,100227392
740,100229
740,100229295
740,1002301
740,10023035
740,1002305
740,10023057
740,1002307
740,100231
740,1002310
740,1002312
740,1002313
740,10023293
